location-name,word,state,lat,lon,location-code,code,count
Tullibigeal,slippery dip,NSW,-33.4212018,146.7274614,1,1,1
Tumbarumba,slippery dip,NSW,-35.7772429,148.0113753,2,2,2
Tumut,slippery dip,NSW,-35.301066799999994,148.2239419,2,2,2
Tyrendarra,slide,VIC,-38.2184054,141.78114140000002,1,1,1
Uarbry,slippery dip,NSW,-32.0472601,149.76472980000003,1,1,1
Underbool,slide,VIC,-35.169652299999996,141.80761619999998,2,2,2
Ungarie,slippery dip,NSW,-33.637948,146.9702852,1,1,1
Victor Harbour,slippery dip,SA,-35.5532268,138.6229492,3,3,3
Wagga Wagga,slide,NSW,-35.1250948,147.349649,1,1,1
Wagga Wagga,slippery dip,NSW,-35.1250948,147.349649,3,3,3
Walla Walla,slippery dip,NSW,-35.7625701,146.90164740000003,1,1,1
Wallaroo,slippery dip,SA,-33.931984,137.6284649,4,4,4
Warooka,slippery dip,SA,-34.9905757,137.4010283,2,2,2
Warwick,slippery dip,QLD,-28.214373300000002,152.0351449,1,1,1
Warwick,slippery slide,QLD,-28.214373300000002,152.0351449,1,1,1
Weering,slide,VIC,-38.0908331,143.6944685,1,1,1
Weethalle,slide,NSW,-33.875718,146.6196632,1,1,1
Wellington,slippery dip,NSW,-32.555618599999995,148.9427754,1,1,1
Wentworth,slippery dip,NSW,-34.1064847,141.9221664,2,2,2
Wentworth,slippery slide,NSW,-34.1064847,141.9221664,1,1,1
Werris Creek,slippery dip,NSW,-31.349085700000003,150.6471759,1,1,1
West Wyalong,slippery dip,NSW,-33.9235028,147.2052839,3,3,3
Wodonga,slippery slide,VIC,-36.122487,146.8878851,2,2,2
Wollongong,slippery dip,NSW,-34.425072799999995,150.8931494,2,2,2
Yass,slippery dip,NSW,-34.8424907,148.91161110000002,1,1,1
Yenda,slide,NSW,-34.2501802,146.19853759999998,1,1,1
Yorketown,slippery dip,SA,-35.0190402,137.604941,2,2,2
